precio,tipo_inmueble,alcaldia,estado,m2,recamaras,banos,estacionamientos,url,fuente,precio_por_m2
60000.0,oficina,Benito Juárez,Ciudad de México,200.0,,,3.0,https://www.lamudi.com.mx/detalle/41032-73-df2edbfe84e3-3b60-1948bda-bdbd-7984,lamudi,300.0
95000.0,oficina,Benito Juárez,Ciudad de México,356.0,,,,https://www.lamudi.com.mx/detalle/41032-73-cb6a6693d8b1-c318-19d9aaf-87e4-70c5,lamudi,266.85393258426967
25442.0,oficina,Benito Juárez,Ciudad de México,20.0,,1.0,,https://www.lamudi.com.mx/detalle/41032-73-fc2e0cbd0073-97c6-19e71f0-86cf-7c0b,lamudi,1272.1
53500.0,oficina,Benito Juárez,Ciudad de México,169.0,,,2.0,https://www.lamudi.com.mx/detalle/41032-73-c84758b2bd64-bfa5-19e02da-a6f4-7ed8,lamudi,316.56804733727813
19000.0,oficina,Benito Juárez,Ciudad de México,78.0,,,,https://www.lamudi.com.mx/detalle/41032-73-220484f2a21b-b4df-adefe9ba-8541-4b96,lamudi,243.5897435897436
45900.0,oficina,Benito Juárez,Ciudad de México,180.0,,2.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-802af38fb3be-7cb4-19cc60d-a8df-7edf,lamudi,255.0
96280.0,oficina,Benito Juárez,Ciudad de México,250.0,,4.0,3.0,https://www.lamudi.com.mx/detalle/41032-73-59f329fadd81-8bc1-19c458c-92a7-72d7,lamudi,385.12
34400.0,oficina,Benito Juárez,Ciudad de México,68.0,,4.0,,https://www.lamudi.com.mx/detalle/41032-73-f0f95c1d9822-6fa6-19cd809-8dd8-7758,lamudi,505.88235294117646
55000.0,oficina,Benito Juárez,Ciudad de México,150.0,,,2.0,https://www.lamudi.com.mx/detalle/41032-73-6ed726d8ecdb-29f2-19c35ee-a84b-7e11,lamudi,366.6666666666667
98700.0,oficina,Benito Juárez,Ciudad de México,300.0,,6.0,6.0,https://www.lamudi.com.mx/detalle/41032-73-34a045d3ff61-74ca-1988283-b39c-7b03,lamudi,329.0
21650.0,oficina,Benito Juárez,Ciudad de México,66.0,,1.0,,https://www.lamudi.com.mx/detalle/41032-73-5871685094cb-733c-f275c327-a027-4506,lamudi,328.030303030303
105600.0,oficina,Benito Juárez,Ciudad de México,330.0,,6.0,5.0,https://www.lamudi.com.mx/detalle/41032-73-125f117439d6-1ba0-ab235e1c-a4a8-3f35,lamudi,320.0
29640.0,oficina,Benito Juárez,Ciudad de México,60.0,,4.0,,https://www.lamudi.com.mx/detalle/41032-73-b626e196d969-6945-19cd809-a1ce-7836,lamudi,494.0
58500.0,oficina,Benito Juárez,Ciudad de México,130.0,,4.0,3.0,https://www.lamudi.com.mx/detalle/41032-73-d7f786dd300c-e877-1976ec3-a468-7c37,lamudi,450.0
34500.0,oficina,Benito Juárez,Ciudad de México,110.0,,2.0,1.0,https://www.lamudi.com.mx/detalle/41032-73-f29794de45f0-14c3-19cdffb-a32d-7281,lamudi,313.6363636363636
27500.0,oficina,Benito Juárez,Ciudad de México,75.0,,,1.0,https://www.lamudi.com.mx/detalle/41032-73-e0f99294da95-7bbd-19c35ed-8672-7afe,lamudi,366.6666666666667
42000.0,oficina,Benito Juárez,Ciudad de México,150.0,,,,https://www.lamudi.com.mx/detalle/41032-73-7e07c2e0f198-b06c-19e2f46-b2ec-7362,lamudi,280.0
51000.0,oficina,Benito Juárez,Ciudad de México,150.0,,,,https://www.lamudi.com.mx/detalle/41032-73-a373b7c9a38c-4b1e-19cfeb4-b346-71fc,lamudi,340.0
25000.0,oficina,Benito Juárez,Ciudad de México,59.0,,,1.0,https://www.lamudi.com.mx/detalle/41032-73-f7ed71f2676f-dd83-1963b8e-8e31-726b,lamudi,423.728813559322
24952.0,oficina,Benito Juárez,Ciudad de México,58.0,,,,https://www.lamudi.com.mx/detalle/41032-73-70e638947ecc-2494-12a1f878-bed5-3c4b,lamudi,430.2068965517241
68000.0,oficina,Benito Juárez,Ciudad de México,355.0,,1.0,3.0,https://www.lamudi.com.mx/detalle/41032-73-60452a22c9cf-6647-1951cc1-a5f5-735f,lamudi,191.54929577464787
46980.0,oficina,Benito Juárez,Ciudad de México,135.0,,2.0,,https://www.lamudi.com.mx/detalle/41032-73-eb509cf15b5e-3ab6-6f5f3ae4-b93a-3e28,lamudi,348.0
32000.0,oficina,Benito Juárez,Ciudad de México,80.0,,,,https://www.lamudi.com.mx/detalle/41032-73-b503a8ff75c4-fb00-199fa10-b976-7069,lamudi,400.0
13500.0,oficina,Benito Juárez,Ciudad de México,10.0,,1.0,,https://www.lamudi.com.mx/detalle/41032-73-40aca4eebfb6-6e34-19bf0e3-a3e8-75f2,lamudi,1350.0
22550.0,oficina,Benito Juárez,Ciudad de México,12.0,,,,https://www.lamudi.com.mx/detalle/41032-73-2b99101be277-697-19bf0d6-9cf3-76b0,lamudi,1879.1666666666667
21833.0,oficina,Benito Juárez,Ciudad de México,15.0,,,,https://www.lamudi.com.mx/detalle/41032-73-e6d76dc0421e-28b6-19bf0c4-8a82-7d58,lamudi,1455.5333333333333
83342.0,oficina,Benito Juárez,Ciudad de México,298.0,,,,https://www.lamudi.com.mx/detalle/41032-73-ebffddd8f4da-1407-19bf0dd-91c1-7f03,lamudi,279.6711409395973
84000.0,oficina,Benito Juárez,Ciudad de México,300.0,,,,https://www.lamudi.com.mx/detalle/41032-73-1e22f68c072f-e566-19bf0dc-b7ad-789a,lamudi,280.0
28930.0,oficina,Benito Juárez,Ciudad de México,15.0,,,,https://www.lamudi.com.mx/detalle/41032-73-40f39794729f-3c30-19bf0d6-8832-73e6,lamudi,1928.6666666666667
