precio,banda_precio,tipo_inmueble,demarcacion,colonia,cerca_alameda_oriente,m2,recamaras,banos,estacionamientos,tiene_estacionamiento,canal_contacto,publicado_por,url,fuentes
13000.0,$12–15k,departamento,Venustiano Carranza,Moctezuma,sí,66.0,2,2.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-3048804921-renta-departamentos-moctezuma-2a-seccion-t-df0074-0349-_JM,,https://departamento.mercadolibre.com.mx/MLM-3048804921-renta-departamentos-moctezuma-2a-seccion-t-df0074-0349-_JM,mercadolibre
13500.0,$12–15k,departamento,Gustavo A. Madero,Campestre Aragón,sí,80.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5608897536-rento-depa-campestre-aragon--_JM,,https://departamento.mercadolibre.com.mx/MLM-5608897536-rento-depa-campestre-aragon--_JM,mercadolibre
14000.0,$12–15k,oficina,Venustiano Carranza,Moctezuma,sí,50.0,3,,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-dad86c153b4d-7576-19beb96-b24a-76fd,,https://www.lamudi.com.mx/detalle/41032-73-dad86c153b4d-7576-19beb96-b24a-76fd,lamudi
14000.0,$12–15k,departamento,Nezahualcóyotl,Benito Juárez,sí,50.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5669276972-comodo-departamento-a-5-minutos-del-aeropuerto-internacional-benito-juarez-estadio-gnp-excelentes-vias-de-acceso-_JM,,https://departamento.mercadolibre.com.mx/MLM-5669276972-comodo-departamento-a-5-minutos-del-aeropuerto-internacional-benito-juarez-estadio-gnp-excelentes-vias-de-acceso-_JM,mercadolibre
14000.0,$12–15k,departamento,Iztacalco,Agrícola Oriental,sí,56.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5586826548-renta-departamentos-agricola-oriental-t-df0176-0212-_JM,,https://departamento.mercadolibre.com.mx/MLM-5586826548-renta-departamentos-agricola-oriental-t-df0176-0212-_JM,mercadolibre
14500.0,$12–15k,departamento,Venustiano Carranza,Moctezuma,sí,60.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-2964975137-renta-departamentos-moctezuma-1a-seccion-t-df0166-0151-_JM,,https://departamento.mercadolibre.com.mx/MLM-2964975137-renta-departamentos-moctezuma-1a-seccion-t-df0166-0151-_JM,mercadolibre
15000.0,$12–15k,oficina,Venustiano Carranza,Pensador Mexicano,sí,120.0,,,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-53eca518a124-f81c-19d326d-a7eb-7f5d,,https://www.lamudi.com.mx/detalle/41032-73-53eca518a124-f81c-19d326d-a7eb-7f5d,lamudi
15000.0,$12–15k,departamento,Nezahualcóyotl,Bosques de Aragón,sí,100.0,3,2.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5569363040-rento-departamento-sobre-avenida-y-esquina-en-bosques-de-aragon-_JM,,https://departamento.mercadolibre.com.mx/MLM-5569363040-rento-departamento-sobre-avenida-y-esquina-en-bosques-de-aragon-_JM,mercadolibre
15000.0,$12–15k,departamento,Iztacalco,Agrícola Pantitlán,sí,60.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5704770446-departamento-amueblado-en-renta-en-iztacalco-agricola-pantitlan-edlt-26-2287-_JM,,https://departamento.mercadolibre.com.mx/MLM-5704770446-departamento-amueblado-en-renta-en-iztacalco-agricola-pantitlan-edlt-26-2287-_JM,mercadolibre
15200.0,$15–18k,departamento,Iztacalco,Agrícola Oriental,sí,55.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5553832970-departamento-en-agricola-oriental-iztacalco-con-2-recamaras-55-m-id-161420-_JM,,https://departamento.mercadolibre.com.mx/MLM-5553832970-departamento-en-agricola-oriental-iztacalco-con-2-recamaras-55-m-id-161420-_JM,mercadolibre
15500.0,$15–18k,departamento,Venustiano Carranza,Moctezuma,sí,65.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5706391784-departamento-en-renta-con-patio-y-estacionamiento-en-moctezuma-_JM,,https://departamento.mercadolibre.com.mx/MLM-5706391784-departamento-en-renta-con-patio-y-estacionamiento-en-moctezuma-_JM,mercadolibre
15750.0,$15–18k,departamento,Venustiano Carranza,Moctezuma,sí,72.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-3167788579-renta-departamentos-moctezuma-2a-seccion-t-df0074-0354-_JM,,https://departamento.mercadolibre.com.mx/MLM-3167788579-renta-departamentos-moctezuma-2a-seccion-t-df0074-0354-_JM,mercadolibre
15900.0,$15–18k,casa,Gustavo A. Madero,Casas Alemán,sí,80.0,,,1,sí,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-f83e239780b9-f5a2-19f44cb-b423-7b7a,,https://www.lamudi.com.mx/detalle/41032-73-f83e239780b9-f5a2-19f44cb-b423-7b7a,lamudi
16000.0,$15–18k,local,Iztacalco,Agrícola Oriental,sí,28.0,,,,n-d,vía portal (lamudi) | https://www.lamudi.com.mx/detalle/41032-73-842ff933e851-558-19ef631-b5e3-77a7,,https://www.lamudi.com.mx/detalle/41032-73-842ff933e851-558-19ef631-b5e3-77a7,lamudi
16000.0,$15–18k,departamento,Venustiano Carranza,Moctezuma,sí,54.0,2,2.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5644783592-departamento-en-moctezuma-_JM,,https://departamento.mercadolibre.com.mx/MLM-5644783592-departamento-en-moctezuma-_JM,mercadolibre
16000.0,$15–18k,departamento,Iztacalco,Agrícola Pantitlán,sí,45.0,2,1.0,,n-d,vía portal (mercadolibre) | https://departamento.mercadolibre.com.mx/MLM-5650854034-departamento-de-45-m2-2-recamaras-1-estacionamiento-en-la-agricola-pantitlan-_JM,,https://departamento.mercadolibre.com.mx/MLM-5650854034-departamento-de-45-m2-2-recamaras-1-estacionamiento-en-la-agricola-pantitlan-_JM,mercadolibre
